Athlete ID,Meet Date,Meet Name,Race Distance,Time,Place
43457,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1524.2061,61
88511,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1524.6062,62
69204,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1525.4063,63
69202,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1525.7064,64
79321,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1527.7065,65
51244,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1529.5066,66
77914,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1529.9067,67
50381,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1530.3068,68
59648,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1530.6069,69
48622,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1531.007,70
56335,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1531.5071,71
57375,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1531.6072,72
43915,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1533.7073,73
46552,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1534.0074,74
51245,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1534.2075,75
69203,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1534.4076,76
49087,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1534.6077,77
69200,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1534.6078,78
68102,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1534.7079,79
52964,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1535.308,80
5269,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1535.9081,81
67604,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1536.2082,82
68105,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1536.7083,83
15988,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1536.7084,84
50219,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1537.0085,85
53337,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1537.2086,86
43220,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1537.3087,87
42827,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1537.7088,88
42734,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1538.0089,89
67849,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1538.209,90
71875,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1538.5091,91
