Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American,Nationals Place,Nationals Time
72741,2025,Micah Lachman,SR,Haverford,6,1468.8001,1468.8001,10.287551857584903,35,0,52,1491.2052
96623,2025,Oliver Moss,SO,Carnegie Mellon,6,1482.6008,1482.6008,24.5127154409625,71,0,53,1493.0053
80474,2025,Kenny Wanlass,JR,Johns Hopkins,6,1467.2003,1467.2003,25.277524987276724,21,0,54,1493.9054
85389,2025,Harrison Dow,JR,Amherst,5,1461.8006,1462.0014,24.09318441437328,35,0,55,1493.9055
80769,2025,Sean Miller,JR,Vassar,7,1460.801,1460.801,26.919098220066772,35,0,56,1494.4056
112991,2025,Carter Bengtson,FR,Amherst,5,1470.7005000000001,1470.7005000000001,28.04256440915971,50,0,57,1494.5057
89394,2025,Quinn Hampson,SR,Tufts,5,1476.8005,1476.8005,13.187189859799519,7,0,58,1495.5058
69515,2025,Jack Loughery,SR,RPI,5,1468.8003999999999,1500.3009,12.437477660940798,63,0,59,1496.3059
106417,2025,Mateo Alvarado-Venegas,SO,Wis.-Stevens Point,5,1468.0013,1468.0013,19.929056771116954,21,0,60,1496.506
71712,2025,Owen Johnson,SR,Middlebury,6,1493.3043,1493.3043,82.10907067540138,35,0,61,1496.9061000000002
111378,2025,Max Sudrzynski,FR,Washington U.,6,1497.3120999999999,1497.3120999999999,19.812520833351847,57,0,62,1497.5062
69526,2025,Luke Zanuck,SR,Williams,6,1484.8007,1484.8007,15.1522249908586,49,0,63,1497.6063
86767,2025,Logan Murphy,JR,Wis.-Stevens Point,5,1474.1015,1482.8016,14.738158760252222,21,0,64,1498.0064
83825,2025,Stian Asper,JR,Redlands,7,1457.4025000000001,1457.4025000000001,30.08158181426063,35,0,65,1498.2065
68819,2025,Henry Dennen,SR,Amherst,5,1479.1019,1499.1052,17.516789421081185,35,0,66,1499.1065999999998
80209,2025,Conor Daly,SR,Washington U.,6,1495.502,1496.5019,14.561346300201789,7,0,67,1499.5067
68105,2025,Andy Taylor,SR,NYU,5,1476.001,1476.001,21.07046540296633,50,0,68,1499.7068000000002
67137,2025,Keaton Rush,SR,Washington And Lee,4,1474.8003999999999,1474.8003999999999,28.3327515531938,7,0,69,1499.9069000000002
106957,2025,Sam Daunt,SO,Washington And Lee,5,1475.6005,1475.6005,23.706333880368337,7,0,70,1501.107
69208,2025,Mason Brown,SR,Wis.-La Crosse,3,1470.4014000000002,1470.4014000000002,25.971879889903082,21,0,71,1502.1071
105948,2025,Chuck Vater,SO,Wis.-La Crosse,5,1438.1006,1438.1006,50.15682718827421,21,0,72,1502.2072
65830,2025,Ryan Podnar,SR,Carnegie Mellon,6,1444.8005,1473.1002999999998,15.898205898352208,71,0,73,1502.9073
83442,2025,Peter Neid,JR,Pomona-Pitzer,6,1468.5071,1483.8052,18.111071502598154,56,0,74,1503.5074
101989,2025,Eli Welch,SO,Williams,6,1457.0007,1457.0007,23.1103024658181,35,0,75,1503.6074999999998
105110,2025,Collin Brown,SO,Suny Geneseo,6,1482.4031,1482.4031,14.878371117430808,35,0,76,1504.3075999999999
93959,2025,Brady Ott,SO,Johns Hopkins,5,1470.2021,1470.2021,37.852574417146286,35,0,77,1504.6077
68823,2025,Liam Calhoun,SR,Wesleyan,4,1480.4012,1480.4012,31.289304576519815,50,0,78,1507.4078000000002
117215,2025,Paulino Guevara-Mateo,FR,Fitchburg St.,7,1471.6000999999999,1471.6000999999999,29.321214219993085,7,0,79,1507.4079000000002
69512,2025,Nikhil DeNatale,SR,Williams,6,1438.6001999999999,1469.6002999999998,24.469577029004817,49,0,80,1508.608
105169,2025,Landon Hering,SO,MIT,5,1491.5041,1491.5041,15.266316613695661,35,0,81,1509.7081
67025,2025,Anthony Carney,SR,Dubuque,6,1461.9009,1461.9009,20.15519500042107,21,0,82,1510.4082
68154,2025,Joshua Pohle,SR,Rose-Hulman,6,1492.8002,1492.8002,27.038033604565253,7,0,83,1511.6082999999999
123595,2025,Sam Hansen,FR,MIT,4,1475.8003999999999,1475.8003999999999,39.89043459615354,7,0,84,1512.9084
69836,2025,Tim Neumann,SR,MIT,4,1470.202,1470.202,15.795293015543468,35,0,85,1512.9085
71917,2025,Gabe Nichols,SR,Carleton,6,1490.9005000000002,1507.9036,42.765166945662706,35,0,86,1513.0086
81375,2025,Jack Brown,JR,Central College,7,1457.5008,1457.5008,44.6860442094496,21,0,87,1513.8087
72428,2025,Jonathan Cobb,JR,Lynchburg,5,1483.4009,1483.4009,22.598356170416398,7,0,88,1513.9088000000002
80230,2025,Nicolo Fasanelli,JR,Carnegie Mellon,4,1504.5012,1504.5012,6.815530566058287,35,0,89,1514.2089
84105,2025,Dom Flitcraft,JR,Washington & Jefferson,6,1484.501,1522.0011,35.63014229770912,49,0,90,1514.309
88599,2025,Zach Sporaa,JR,Wis.-Platteville,5,1447.201,1447.201,27.38292215402876,21,0,91,1514.6091
101823,2025,Jacob Dinerman,JR,Rutgers-Camden,7,1483.4004,1483.4004,83.59585308292151,7,0,92,1514.7092
97859,2025,Solomon Zaugg,SO,Wartburg,6,1470.7012,1470.7012,17.00066895890866,21,0,93,1514.8093
43887,2025,Matthew Conway,SR,Rowan,6,1488.2007,1488.2007,19.392379753004004,7,0,94,1515.5094
